first_player_1,first_player_2,first_player_3,first_player_4,second_player_1,second_player_2,second_player_3,second_player_4,proportion,count
0,0,0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0.99755458623878980952,16
0,0,0,1,0,0,0,1,0.9951135381266165747,240
0,0,0,1,0,0,0,2,0.96153185247235855554,1680
0,0,0,1,0,0,0,3,0.75447029710100185108,7280
0,0,0,1,0,0,1,0,0.99492525332930775484,256
0,0,0,1,0,0,1,1,0.99248952678701481946,3840
0,0,0,1,0,0,1,2,0.95898632083321587588,26880
0,0,0,1,0,0,1,3,0.75244336449745007015,116000
0,0,0,1,0,0,2,0,0.96028236008193635683,1920
0,0,0,1,0,0,2,1,0.95792169771912620865,28800
0,0,0,1,0,0,2,2,0.92549819581032589879,200880
0,0,0,1,0,0,2,3,0.72591576189312522414,858480
0,0,0,1,0,0,3,0,0.75228546795794807815,8960
0,0,0,1,0,0,3,1,0.75040807301119500704,133920
0,0,0,1,0,0,3,2,0.72476126501397436521,925440
0,0,0,1,0,0,3,3,0.56776611303278818935,3889120
0,0,0,1,0,1,0,0,0.99483846788112062073,256
0,0,0,1,0,1,0,1,0.99240335669464864347,3840
0,0,0,1,0,1,0,2,0.95890657618294801283,26880
0,0,0,1,0,1,0,3,0.75239084225188625128,116000
0,0,0,1,0,1,1,0,0.99221572770099884915,4096
0,0,0,1,0,1,1,1,0.98978592620313709263,61440
0,0,0,1,0,1,1,2,0.95636744278307457408,428640
0,0,0,1,0,1,1,3,0.75036905103538025793,1832960
0,0,0,1,0,1,2,0,0.95766230216479244959,30720
0,0,0,1,0,1,2,1,0.95530739193209063955,459360
0,0,0,1,0,1,2,2,0.92296602807031376983,3178080
0,0,0,1,0,1,2,3,0.72391078866474720784,13384320
0,0,0,1,0,1,3,0,0.75021929385427833486,142880
0,0,0,1,0,1,3,1,0.74834650363335094951,2118720
0,0,0,1,0,1,3,2,0.72276510763208366098,14443680
0,0,0,1,0,1,3,3,0.56618750329239008453,59497600
0,0,0,1,0,2,0,0,0.95971472862094179325,1920
0,0,0,1,0,2,0,1,0.95735945636976962267,28800
0,0,0,1,0,2,0,2,0.92498954033164913228,200880
0,0,0,1,0,2,0,3,0.72561413567919349276,858480
0,0,0,1,0,2,1,0,0.95717978864676957543,30720
0,0,0,1,0,2,1,1,0.95482966135838008998,459360
0,0,0,1,0,2,1,2,0.9225355498253891766,3178080
0,0,0,1,0,2,1,3,0.7236605587745230791,13384320
0,0,0,1,0,2,2,0,0.92380571838174008177,229680
0,0,0,1,0,2,2,1,0.92152811414565385612,3407760
0,0,0,1,0,2,2,2,0.89027617292016633854,23254560
0,0,0,1,0,2,2,3,0.69811266789023386024,95938560
0,0,0,1,0,2,3,0,0.72358440325375043865,1059360
0,0,0,1,0,2,3,1,0.72177336217991257973,15503040
0,0,0,1,0,2,3,2,0.69705752964528806478,103690080
0,0,0,1,0,2,3,3,0.54592505104612071907,416551360
0,0,0,1,0,3,0,0,0.75128355837757593117,8960
0,0,0,1,0,3,0,1,0.74942231306850366953,133920
0,0,0,1,0,3,0,2,0.72392574124857868858,925440
0,0,0,1,0,3,0,3,0.56743416812085523368,3889120
0,0,0,1,0,3,1,0,0.74928583576067762333,142880
0,0,0,1,0,3,1,1,0.74742868444942596472,2118720
0,0,0,1,0,3,1,2,0.72199223814568027577,14443680
0,0,0,1,0,3,1,3,0.56589618279693993098,59497600
0,0,0,1,0,3,2,0,0.72304894939222353092,1059360
0,0,0,1,0,3,2,1,0.72124936988966490031,15503040
0,0,0,1,0,3,2,2,0.69663754638470242364,103690080
0,0,0,1,0,3,2,3,0.54583301736089519265,416551360
0,0,0,1,0,3,3,0,0.56603690411184867466,4814560
0,0,0,1,0,3,3,1,0.56460676226835778103,69126720
0,0,0,1,0,3,3,2,0.54515335246474674863,451114720
0,0,0,1,0,3,3,3,0.4266154046410562853,1759479040
0,0,0,1,1,0,0,0,0.99480027943821327136,256
0,0,0,1,1,0,0,1,0.9923655391342621691,3840
0,0,0,1,1,0,0,2,0.95887243487760836396,26880
0,0,0,1,1,0,0,3,0.75237082864057090386,116000
0,0,0,1,1,0,1,0,0.99217784143843419464,4096
0,0,0,1,1,0,1,1,0.98974840942154962434,61440
0,0,0,1,1,0,1,2,0.95633358637019947742,428640
0,0,0,1,1,0,1,3,0.75034924442494189507,1832960
0,0,0,1,1,0,2,0,0.95762743711889957449,30720
0,0,0,1,1,0,2,1,0.95527287990593025472,459360
0,0,0,1,1,0,2,2,0.92293499580023459191,3178080
0,0,0,1,1,0,2,3,0.72389296900372950459,13384320
0,0,0,1,1,0,3,0,0.75019668463741386883,142880
0,0,0,1,1,0,3,1,0.74832416072540499823,2118720
0,0,0,1,1,0,3,2,0.72274533892095388577,14443680
0,0,0,1,1,0,3,3,0.56617710383129803325,59497600
0,0,0,1,1,1,0,0,0.99209137276767642057,4096
0,0,0,1,1,1,0,1,0.98966255450129262824,61440
0,0,0,1,1,1,0,2,0.95625413911274289631,428640
0,0,0,1,1,1,0,3,0.75029693499478592102,1832960
0,0,0,1,1,1,1,0,0.98947551085546329876,65536
0,0,0,1,1,1,1,1,0.9870519889948759597,980160
0,0,0,1,1,1,1,2,0.95372167265710034291,6784800
0,0,0,1,1,1,1,3,0.74828047912385103902,28601600
0,0,0,1,1,1,2,0,0.95501434480799370406,490080
0,0,0,1,1,1,2,1,0.95266552526679304925,7274880
0,0,0,1,1,1,2,2,0.9204095698452124183,49687200
0,0,0,1,1,1,2,3,0.721893365263541923,205261440
0,0,0,1,1,1,3,0,0.74813602926110562152,2261600
0,0,0,1,1,1,3,1,0.74626809848072377069,33124800
0,0,0,1,1,1,3,2,0.72075452146454653848,221823840
0,0,0,1,1,1,3,3,0.56460274275006505008,892600320
0,0,0,1,1,2,0,0,0.95706226618167941553,30720
0,0,0,1,1,2,0,1,0.95471308457342272502,459360
0,0,0,1,1,2,0,2,0.92242863011185998184,3178080
0,0,0,1,1,2,0,3,0.72359292729154265473,13384320
0,0,0,1,1,2,1,0,0.95453397996152704988,490080
0,0,0,1,1,2,1,1,0.95218993044236034502,7274880
0,0,0,1,1,2,1,2,0.91998108866637784673,49687200
0,0,0,1,1,2,1,3,0.72164451052955242068,205261440
0,0,0,1,1,2,2,0,0.92124910364720215313,3637440
0,0,0,1,1,2,2,1,0.91897739413866476154,53324640
0,0,0,1,1,2,2,2,0.88780805190919312311,357579360
