first_player_1,first_player_2,first_player_3,second_player_1,second_player_2,second_player_3,proportion,count,mutual_proportion
0,1,0,2,1,1,0.6244542627302195,18768,1.264077569446521e-05
0,1,0,2,1,2,0.4583191745375184,55272,3.7227246066948055e-05
0,1,0,2,2,0,0.4711765245449689,7200,4.849402440331922e-06
0,1,0,2,2,1,0.4538708015143272,49020,3.3016348281259834e-05
0,1,0,2,2,2,0.3309720317638122,129876,8.747513768618732e-05
0,1,1,0,0,1,0.8969202342240903,648,4.36446219629873e-07
0,1,1,0,0,2,0.6622947723121093,2268,1.5275617687045555e-06
0,1,1,0,1,0,0.8926955237237845,648,4.36446219629873e-07
0,1,1,0,1,1,0.8620875341764667,5184,3.491569757038984e-06
0,1,1,0,1,2,0.6355467292958729,16992,1.1444589759183336e-05
0,1,1,0,2,0,0.6528849029111778,2268,1.5275617687045555e-06
0,1,1,0,2,1,0.6295749003313766,17136,1.1541577807989973e-05
0,1,1,0,2,2,0.4610959019631655,50400,3.394581708232345e-05
0,1,1,1,0,0,0.8915311155185773,729,4.910019970836071e-07
0,1,1,1,0,1,0.8610656761765774,5832,3.928015976668857e-06
0,1,1,1,0,2,0.6351852548379706,19260,1.297215152788789e-05
0,1,1,1,1,0,0.8570299630540462,5832,3.928015976668857e-06
0,1,1,1,1,1,0.8274689109995716,44640,3.0066295130057915e-05
0,1,1,1,1,2,0.6094093957759597,134784,9.078081368301358e-05
0,1,1,1,2,0,0.6263716113847405,19548,1.3166127625501168e-05
0,1,1,1,2,1,0.603872331904914,137808,9.281756270795299e-05
0,1,1,1,2,2,0.4418339057410817,376128,0.0002533327834829396
0,1,1,2,0,0,0.6515600704114914,2916,1.9640079883344284e-06
0,1,1,2,0,1,0.6287538399218666,22320,1.5033147565028957e-05
0,1,1,2,0,2,0.4620431599888477,67392,4.539040684150679e-05
0,1,1,2,1,0,0.6259169394942724,22464,1.5130135613835597e-05
0,1,1,2,1,1,0.6037991463397518,160128,0.00010785071027298194
0,1,1,2,1,2,0.4429835778246234,443520,0.0002987231903244464
