first_player_1,first_player_2,first_player_3,second_player_1,second_player_2,second_player_3,proportion,count
0,0,0,0,0,0,1,1
0,0,1,0,0,0,0.996415,25
0,0,1,0,0,1,0.99284,600
0,0,1,0,0,2,0.910354,6900
0,0,1,0,1,0,0.992842,625
0,0,1,0,1,1,0.98928,15000
0,0,1,0,1,2,0.907089,172500
0,0,1,0,2,0,0.910374,7500
0,0,1,0,2,1,0.907108,180000
0,0,1,0,2,2,0.831742,2070000
0,0,1,1,0,0,0.992842,625
0,0,1,1,0,1,0.98928,15000
0,0,1,1,0,2,0.907089,172500
0,0,1,1,1,0,0.989282,15625
0,0,1,1,1,1,0.985733,375000
0,0,1,1,1,2,0.903836,4312500
0,0,1,1,2,0,0.90711,187500
0,0,1,1,2,1,0.903855,4500000
0,0,1,1,2,2,0.82876,51742800
0,0,1,2,0,0,0.910372,7500
0,0,1,2,0,1,0.907106,180000
0,0,1,2,0,2,0.83174,2070000
0,0,1,2,1,0,0.907108,187500
0,0,1,2,1,1,0.903853,4500000
0,0,1,2,1,2,0.828758,51742800
0,0,1,2,2,0,0.831759,2250000
0,0,1,2,2,1,0.828775,53992800
0,0,1,2,2,2,0.759915,620532000
0,0,2,0,0,1,0.910354,6900
0,0,2,0,0,2,0.834469,75900
0,0,2,0,1,0,0.910377,7500
0,0,2,0,1,1,0.907089,172500
0,0,2,0,1,2,0.831476,1897500
0,0,2,0,2,0,0.83476,90000
0,0,2,0,2,1,0.831745,2070000
0,0,2,0,2,2,0.762411,22770000
0,0,2,1,0,0,0.910377,7500
0,0,2,1,0,1,0.907089,172500
0,0,2,1,0,2,0.831476,1897500
0,0,2,1,1,0,0.907112,187500
0,0,2,1,1,1,0.903837,4312500
0,0,2,1,1,2,0.828495,47437500
0,0,2,1,2,0,0.831766,2250000
0,0,2,1,2,1,0.828762,51750000
0,0,2,1,2,2,0.759677,569181600
0,0,2,2,0,0,0.834757,90000
0,0,2,2,0,1,0.831743,2070000
0,0,2,2,0,2,0.762409,22770000
0,0,2,2,1,0,0.831764,2250000
0,0,2,2,1,1,0.82876,51750000
0,0,2,2,1,2,0.759675,569181600
0,0,2,2,2,0,0.762675,27000000
0,0,2,2,2,1,0.75992,620931600
0,0,2,2,2,2,0.696572,6826622400
0,1,0,0,0,0,0.996414,25
0,1,0,0,0,1,0.992842,625
0,1,0,0,0,2,0.910377,7500
0,1,0,0,1,0,0.99284,600
0,1,0,0,1,1,0.98928,15000
0,1,0,0,1,2,0.907111,180000
0,1,0,0,2,0,0.91035,6900
0,1,0,0,2,1,0.907086,172500
0,1,0,0,2,2,0.831742,2070000
0,1,0,1,0,0,0.992841,625
0,1,0,1,0,1,0.989282,15625
0,1,0,1,0,2,0.907112,187500
0,1,0,1,1,0,0.989279,15000
0,1,0,1,1,1,0.985732,375000
0,1,0,1,1,2,0.903858,4500000
0,1,0,1,2,0,0.907086,172500
0,1,0,1,2,1,0.903833,4312500
0,1,0,1,2,2,0.828759,51742080
0,1,0,2,0,0,0.910372,7500
0,1,0,2,0,1,0.907107,187500
0,1,0,2,0,2,0.831762,2250000
0,1,0,2,1,0,0.907105,180000
0,1,0,2,1,1,0.903853,4500000
0,1,0,2,1,2,0.828777,53992080
0,1,0,2,2,0,0.831737,2070000
0,1,0,2,2,1,0.828755,51742440
0,1,0,2,2,2,0.759915,620492400
0,1,1,0,0,1,0.98928,15000
0,1,1,0,0,2,0.907089,172500
0,1,1,0,1,0,0.98928,15000
0,1,1,0,1,1,0.985731,360000
0,1,1,0,1,2,0.903835,4140000
0,1,1,0,2,0,0.907086,172500
0,1,1,0,2,1,0.903832,4140000
0,1,1,0,2,2,0.828739,47610000
0,1,1,1,0,0,0.989282,15625
0,1,1,1,0,1,0.985733,375000
0,1,1,1,0,2,0.903836,4312500
0,1,1,1,1,0,0.985732,375000
0,1,1,1,1,1,0.982196,9000000
0,1,1,1,1,2,0.900594,103500000
0,1,1,1,2,0,0.903834,4312500
0,1,1,1,2,1,0.900591,103500000
0,1,1,1,2,2,0.825767,1190091600
0,1,1,2,0,0,0.907108,187500
0,1,1,2,0,1,0.903854,4500000
0,1,1,2,0,2,0.828758,51750000
0,1,1,2,1,0,0.903853,4500000
0,1,1,2,1,1,0.900611,108000000
0,1,1,2,1,2,0.825785,1241841600
0,1,1,2,2,0,0.828755,51750000
0,1,1,2,2,1,0.825782,1241848800
0,1,1,2,2,2,0.757171,14272999200
0,1,2,0,0,1,0.907089,172500
0,1,2,0,0,2,0.831476,1897500
0,1,2,0,1,0,0.907111,180000
0,1,2,0,1,1,0.903835,4140000
0,1,2,0,1,2,0.828493,45540000
0,1,2,0,2,0,0.831745,2070000
0,1,2,0,2,1,0.828741,47610000
0,1,2,0,2,2,0.759657,523710000
0,1,2,1,0,0,0.907112,187500
0,1,2,1,0,1,0.903836,4312500
0,1,2,1,0,2,0.828495,47437500
0,1,2,1,1,0,0.903858,4500000
0,1,2,1,1,1,0.900594,103500000
0,1,2,1,1,2,0.825522,1138500000
0,1,2,1,2,0,0.828762,51750000
0,1,2,1,2,1,0.825769,1190250000
0,1,2,1,2,2,0.756933,13091245200
0,1,2,2,0,0,0.831764,2250000
0,1,2,2,0,1,0.82876,51750000
0,1,2,2,0,2,0.759675,569250000
0,1,2,2,1,0,0.82878,54000000
0,1,2,2,1,1,0.825787,1242000000
0,1,2,2,1,2,0.756949,13660495200
0,1,2,2,2,0,0.75992,621000000
0,1,2,2,2,1,0.757176,14281563600
0,1,2,2,2,2,0.694056,157019428800
0,2,0,0,0,1,0.910374,7500
0,2,0,0,0,2,0.83476,90000
0,2,0,0,1,0,0.91035,6900
0,2,0,0,1,1,0.907086,172500
0,2,0,0,1,2,0.831745,2070000
0,2,0,0,2,0,0.834463,75900
0,2,0,0,2,1,0.831471,1897500
0,2,0,0,2,2,0.762408,22770000
0,2,0,1,0,0,0.910374,7500
0,2,0,1,0,1,0.90711,187500
0,2,0,1,0,2,0.831766,2250000
0,2,0,1,1,0,0.907086,172500
0,2,0,1,1,1,0.903834,4312500
0,2,0,1,1,2,0.828762,51750000
0,2,0,1,2,0,0.83147,1897500
0,2,0,1,2,1,0.828489,47437500
0,2,0,1,2,2,0.759674,569166840
0,2,0,2,0,0,0.834754,90000
0,2,0,2,0,1,0.831761,2250000
0,2,0,2,0,2,0.762674,27000000
0,2,0,2,1,0,0.83174,2070000
0,2,0,2,1,1,0.828757,51750000
0,2,0,2,1,2,0.75992,620916840
0,2,0,2,2,0,0.762403,22770000
0,2,0,2,2,1,0.75967,569174400
0,2,0,2,2,2,0.696569,6825828960
0,2,1,0,0,1,0.907108,180000
0,2,1,0,0,2,0.831745,2070000
0,2,1,0,1,0,0.907086,172500
0,2,1,0,1,1,0.903832,4140000
0,2,1,0,1,2,0.828741,47610000
0,2,1,0,2,0,0.831471,1897500
0,2,1,0,2,1,0.828488,45540000
0,2,1,0,2,2,0.759655,523710000
0,2,1,1,0,0,0.90711,187500
0,2,1,1,0,1,0.903856,4500000
0,2,1,1,0,2,0.828762,51750000
0,2,1,1,1,0,0.903834,4312500
0,2,1,1,1,1,0.900591,103500000
0,2,1,1,1,2,0.825769,1190250000
0,2,1,1,2,0,0.828489,47437500
0,2,1,1,2,1,0.825517,1138500000
0,2,1,1,2,2,0.75693,13091086800
0,2,1,2,0,0,0.831761,2250000
0,2,1,2,0,1,0.828778,54000000
0,2,1,2,0,2,0.75992,621000000
0,2,1,2,1,0,0.828757,51750000
0,2,1,2,1,1,0.825784,1242000000
0,2,1,2,1,2,0.757176,14281336800
0,2,1,2,2,0,0.75967,569250000
0,2,1,2,2,1,0.756944,13660488000
0,2,1,2,2,2,0.694053,157011091200
0,2,2,0,0,1,0.831742,2070000
0,2,2,0,0,2,0.762411,22770000
0,2,2,0,1,0,0.831742,2070000
0,2,2,0,1,1,0.828739,47610000
0,2,2,0,1,2,0.759657,523710000
0,2,2,0,2,0,0.762408,22770000
0,2,2,0,2,1,0.759655,523710000
0,2,2,0,2,2,0.69633,5760810000
0,2,2,1,0,0,0.831763,2250000
0,2,2,1,0,1,0.82876,51750000
0,2,2,1,0,2,0.759677,569250000
0,2,2,1,1,0,0.828759,51750000
0,2,2,1,1,1,0.825767,1190250000
0,2,2,1,1,2,0.756933,13092750000
0,2,2,1,2,0,0.759674,569250000
0,2,2,1,2,1,0.756931,13092750000
0,2,2,1,2,2,0.693833,144004449600
0,2,2,2,0,0,0.762674,27000000
0,2,2,2,0,1,0.75992,621000000
0,2,2,2,0,2,0.696574,6831000000
0,2,2,2,1,0,0.75992,621000000
0,2,2,2,1,1,0.757175,14283000000
0,2,2,2,1,2,0.694058,157097199600
0,2,2,2,2,0,0.696571,6831000000
0,2,2,2,2,1,0.694055,157098636000
0,2,2,2,2,2,0.636198,1727289230400
1,0,0,0,0,0,0.996414,25
1,0,0,0,0,1,0.992842,625
1,0,0,0,0,2,0.910377,7500
1,0,0,0,1,0,0.992841,625
1,0,0,0,1,1,0.989282,15625
1,0,0,0,1,2,0.907112,187500
1,0,0,0,2,0,0.910374,7500
1,0,0,0,2,1,0.90711,187500
1,0,0,0,2,2,0.831763,2250000
1,0,0,1,0,0,0.992839,600
1,0,0,1,0,1,0.989279,15000
1,0,0,1,0,2,0.90711,180000
1,0,0,1,1,0,0.989279,15000
1,0,0,1,1,1,0.985732,375000
1,0,0,1,1,2,0.903857,4500000
1,0,0,1,2,0,0.907107,180000
1,0,0,1,2,1,0.903855,4500000
1,0,0,1,2,2,0.828779,53991360
1,0,0,2,0,0,0.910348,6900
1,0,0,2,0,1,0.907084,172500
1,0,0,2,0,2,0.83174,2070000
1,0,0,2,1,0,0.907083,172500
1,0,0,2,1,1,0.903831,4312500
1,0,0,2,1,2,0.828757,51741720
1,0,0,2,2,0,0.831737,2070000
1,0,0,2,2,1,0.828755,51741720
1,0,0,2,2,2,0.759915,620453520
1,0,1,0,0,1,0.98928,15000
1,0,1,0,0,2,0.907089,172500
1,0,1,0,1,0,0.989282,15625
1,0,1,0,1,1,0.985733,375000
1,0,1,0,1,2,0.903836,4312500
1,0,1,0,2,0,0.90711,187500
1,0,1,0,2,1,0.903856,4500000
1,0,1,0,2,2,0.82876,51750000
1,0,1,1,0,0,0.989279,15000
1,0,1,1,0,1,0.985731,360000
1,0,1,1,0,2,0.903835,4140000
1,0,1,1,1,0,0.985732,375000
1,0,1,1,1,1,0.982196,9000000
1,0,1,1,1,2,0.900594,103500000
1,0,1,1,2,0,0.903855,4500000
1,0,1,1,2,1,0.900613,108000000
1,0,1,1,2,2,0.825786,1241827200
1,0,1,2,0,0,0.907084,172500
1,0,1,2,0,1,0.90383,4140000
1,0,1,2,0,2,0.828736,47610000
1,0,1,2,1,0,0.903831,4312500
1,0,1,2,1,1,0.900589,103500000
1,0,1,2,1,2,0.825764,1190084400
1,0,1,2,2,0,0.828755,51750000
1,0,1,2,2,1,0.825782,1241834400
1,0,1,2,2,2,0.757171,14272236000
1,0,2,0,0,1,0.907089,172500
1,0,2,0,0,2,0.831476,1897500
1,0,2,0,1,0,0.907112,187500
1,0,2,0,1,1,0.903836,4312500
1,0,2,0,1,2,0.828495,47437500
1,0,2,0,2,0,0.831766,2250000
1,0,2,0,2,1,0.828762,51750000
1,0,2,0,2,2,0.759677,569250000
1,0,2,1,0,0,0.90711,180000
1,0,2,1,0,1,0.903835,4140000
1,0,2,1,0,2,0.828493,45540000
1,0,2,1,1,0,0.903858,4500000
1,0,2,1,1,1,0.900594,103500000
1,0,2,1,1,2,0.825522,1138500000
1,0,2,1,2,0,0.828782,54000000
1,0,2,1,2,1,0.825789,1242000000
1,0,2,1,2,2,0.756951,13660358400
1,0,2,2,0,0,0.831742,2070000
1,0,2,2,0,1,0.828739,47610000
1,0,2,2,0,2,0.759655,523710000
1,0,2,2,1,0,0.82876,51750000
1,0,2,2,1,1,0.825767,1190250000
1,0,2,2,1,2,0.756931,13091176800
1,0,2,2,2,0,0.75992,621000000
1,0,2,2,2,1,0.757176,14281426800
1,0,2,2,2,2,0.694056,157012315200
1,1,0,0,0,1,0.989282,15625
1,1,0,0,0,2,0.907112,187500
1,1,0,0,1,0,0.989279,15000
1,1,0,0,1,1,0.985732,375000
1,1,0,0,1,2,0.903858,4500000
1,1,0,0,2,0,0.907086,172500
1,1,0,0,2,1,0.903834,4312500
1,1,0,0,2,2,0.828759,51750000
1,1,0,1,0,0,0.989279,15000
1,1,0,1,0,1,0.985732,375000
1,1,0,1,0,2,0.903858,4500000
1,1,0,1,1,0,0.98573,360000
1,1,0,1,1,1,0.982196,9000000
1,1,0,1,1,2,0.900615,108000000
1,1,0,1,2,0,0.903831,4140000
1,1,0,1,2,1,0.900591,103500000
1,1,0,1,2,2,0.825786,1241809920
1,1,0,2,0,0,0.907084,172500
1,1,0,2,0,1,0.903831,4312500
1,1,0,2,0,2,0.828757,51750000
1,1,0,2,1,0,0.903829,4140000
1,1,0,2,1,1,0.900589,103500000
1,1,0,2,1,2,0.825784,1241817840
1,1,0,2,2,0,0.828733,47610000
1,1,0,2,2,1,0.825762,1190076120
1,1,0,2,2,2,0.757171,14271325200
1,1,1,0,0,1,0.985733,375000
1,1,1,0,0,2,0.903837,4312500
1,1,1,0,1,0,0.985732,375000
1,1,1,0,1,1,0.982196,9000000
1,1,1,0,1,2,0.900594,103500000
1,1,1,0,2,0,0.903834,4312500
1,1,1,0,2,1,0.900591,103500000
1,1,1,0,2,2,0.825767,1190250000
1,1,1,1,0,0,0.985732,375000
1,1,1,1,0,1,0.982196,9000000
1,1,1,1,0,2,0.900594,103500000
1,1,1,1,1,0,0.982196,9000000
1,1,1,1,1,1,0.978672,216000000
1,1,1,1,1,2,0.897363,2484000000
1,1,1,1,2,0,0.900591,103500000
1,1,1,1,2,1,0.89736,2484000000
1,1,1,1,2,2,0.822804,28562198400
1,1,1,2,0,0,0.903831,4312500
1,1,1,2,0,1,0.900589,103500000
1,1,1,2,0,2,0.825765,1190250000
1,1,1,2,1,0,0.900589,103500000
1,1,1,2,1,1,0.897358,2484000000
1,1,1,2,1,2,0.822802,28562356800
1,1,1,2,2,0,0.825762,1190250000
1,1,1,2,2,1,0.8228,28562522400
1,1,1,2,2,2,0.754436,328278981600
1,1,2,0,0,1,0.903836,4312500
1,1,2,0,0,2,0.828495,47437500
1,1,2,0,1,0,0.903858,4500000
1,1,2,0,1,1,0.900594,103500000
1,1,2,0,1,2,0.825522,1138500000
1,1,2,0,2,0,0.828762,51750000
1,1,2,0,2,1,0.825769,1190250000
1,1,2,0,2,2,0.756933,13092750000
1,1,2,1,0,0,0.903857,4500000
1,1,2,1,0,1,0.900594,103500000
1,1,2,1,0,2,0.825522,1138500000
1,1,2,1,1,0,0.900615,108000000
1,1,2,1,1,1,0.897363,2484000000
1,1,2,1,1,2,0.82256,27324000000
1,1,2,1,2,0,0.825789,1242000000
1,1,2,1,2,1,0.822806,28566000000
1,1,2,1,2,2,0.754217,314189884800
1,1,2,2,0,0,0.82876,51750000
1,1,2,2,0,1,0.825767,1190250000
1,1,2,2,0,2,0.756931,13092750000
1,1,2,2,1,0,0.825786,1242000000
1,1,2,2,1,1,0.822804,28566000000
1,1,2,2,1,2,0.754215,314191389600
1,1,2,2,2,0,0.757175,14283000000
1,1,2,2,2,1,0.754441,328475962800
1,1,2,2,2,2,0.691549,3611446862400
1,2,0,0,0,1,0.90711,187500
1,2,0,0,0,2,0.831766,2250000
1,2,0,0,1,0,0.907086,172500
1,2,0,0,1,1,0.903834,4312500
1,2,0,0,1,2,0.828762,51750000
1,2,0,0,2,0,0.83147,1897500
1,2,0,0,2,1,0.828489,47437500
1,2,0,0,2,2,0.759674,569250000
1,2,0,1,0,0,0.907107,180000
1,2,0,1,0,1,0.903855,4500000
1,2,0,1,0,2,0.828782,54000000
1,2,0,1,1,0,0.903831,4140000
1,2,0,1,1,1,0.900591,103500000
1,2,0,1,1,2,0.825789,1242000000
1,2,0,1,2,0,0.828487,45540000
1,2,0,1,2,1,0.825517,1138500000
1,2,0,1,2,2,0.756948,13660004160
1,2,0,2,0,0,0.831739,2070000
1,2,0,2,0,1,0.828757,51750000
1,2,0,2,0,2,0.75992,621000000
1,2,0,2,1,0,0.828735,47610000
1,2,0,2,1,1,0.825764,1190250000
1,2,0,2,1,2,0.757175,14281087320
1,2,0,2,2,0,0.75965,523710000
1,2,0,2,2,1,0.756926,13091011200
1,2,0,2,2,2,0.694053,156994066080
1,2,1,0,0,1,0.903855,4500000
1,2,1,0,0,2,0.828762,51750000
1,2,1,0,1,0,0.903833,4312500
1,2,1,0,1,1,0.900591,103500000
1,2,1,0,1,2,0.825769,1190250000
1,2,1,0,2,0,0.828489,47437500
1,2,1,0,2,1,0.825517,1138500000
1,2,1,0,2,2,0.756931,13092750000
1,2,1,1,0,0,0.903855,4500000
1,2,1,1,0,1,0.900613,108000000
1,2,1,1,0,2,0.825789,1242000000
1,2,1,1,1,0,0.900591,103500000
1,2,1,1,1,1,0.89736,2484000000
1,2,1,1,1,2,0.822806,28566000000
1,2,1,1,2,0,0.825517,1138500000
1,2,1,1,2,1,0.822555,27324000000
1,2,1,1,2,2,0.754215,314186083200
1,2,1,2,0,0,0.828757,51750000
1,2,1,2,0,1,0.825784,1242000000
1,2,1,2,0,2,0.757175,14283000000
1,2,1,2,1,0,0.825764,1190250000
1,2,1,2,1,1,0.822802,28566000000
1,2,1,2,1,2,0.754441,328470746400
1,2,1,2,2,0,0.756926,13092750000
1,2,1,2,2,1,0.75421,314191224000
1,2,1,2,2,2,0.691546,3611255097600
1,2,2,0,0,1,0.82876,51742800
1,2,2,0,0,2,0.759677,569181600
1,2,2,0,1,0,0.828759,51742080
1,2,2,0,1,1,0.825767,1190091600
1,2,2,0,1,2,0.756933,13091245200
1,2,2,0,2,0,0.759674,569166840
1,2,2,0,2,1,0.75693,13091086800
1,2,2,0,2,2,0.693833,144004449600
1,2,2,1,0,0,0.828779,53991360
1,2,2,1,0,1,0.825786,1241827200
1,2,2,1,0,2,0.756951,13660358400
