first_player_1,first_player_2,first_player_3,second_player_1,second_player_2,second_player_3,proportion,count,directional_proportion
0,0,0,0,0,0,1.0,1,0.9999999999999987
0,0,1,0,0,0,0.996415,25,0.9964149999999667
0,0,1,0,0,1,0.99284,600,0.9928399999992017
0,0,1,0,0,2,0.910354,6900,0.9103539999908205
0,0,1,0,1,0,0.992842,625,0.9928419999991686
0,0,1,0,1,1,0.98928,15000,0.9892799999800446
0,0,1,0,1,2,0.907089,172500,0.9070889997705124
0,0,1,0,2,0,0.910374,7500,0.9103739999900223
0,0,1,0,2,1,0.907108,180000,0.9071079997605346
0,0,1,0,2,2,0.831742,2070000,0.8317419972461476
0,0,1,1,0,0,0.992842,625,0.9928419999991686
0,0,1,1,0,1,0.98928,15000,0.9892799999800446
0,0,1,1,0,2,0.907089,172500,0.9070889997705124
0,0,1,1,1,0,0.989282,15625,0.9892819999792131
0,0,1,1,1,1,0.985733,375000,0.9857329995011137
0,0,1,1,1,2,0.903836,4312500,0.9038359942628075
0,0,1,1,2,0,0.90711,187500,0.9071099997505568
0,0,1,1,2,1,0.903855,4500000,0.9038549940133642
0,0,1,1,2,2,0.82876,51742800,0.8287599311632682
0,0,1,2,0,0,0.910372,7500,0.9103719999900223
0,0,1,2,0,1,0.907106,180000,0.9071059997605345
0,0,1,2,0,2,0.83174,2070000,0.8317399972461477
0,0,1,2,1,0,0.907108,187500,0.9071079997505569
0,0,1,2,1,1,0.903853,4500000,0.9038529940133643
0,0,1,2,1,2,0.828758,51742800,0.8287579311632681
0,0,1,2,2,0,0.831759,2250000,0.8317589970066822
0,0,1,2,2,1,0.828775,53992800,0.8287749281699504
0,0,1,2,2,2,0.759915,620532000,0.7599141744668848
0,0,2,0,0,1,0.910354,6900,0.9103539999908205
0,0,2,0,0,2,0.834469,75900,0.8344689998990255
0,0,2,0,1,0,0.910377,7500,0.9103769999900223
0,0,2,0,1,1,0.907089,172500,0.9070889997705124
0,0,2,0,1,2,0.831476,1897500,0.8314759974756353
0,0,2,0,2,0,0.83476,90000,0.8347599998802673
0,0,2,0,2,1,0.831745,2070000,0.8317449972461476
0,0,2,0,2,2,0.762411,22770000,0.7624109697076233
0,0,2,1,0,0,0.910377,7500,0.9103769999900223
0,0,2,1,0,1,0.907089,172500,0.9070889997705124
0,0,2,1,0,2,0.831476,1897500,0.8314759974756353
0,0,2,1,1,0,0.907112,187500,0.9071119997505569
0,0,2,1,1,1,0.903837,4312500,0.9038369942628075
0,0,2,1,1,2,0.828495,47437500,0.828494936890882
0,0,2,1,2,0,0.831766,2250000,0.8317659970066822
0,0,2,1,2,1,0.828762,51750000,0.8287619311536896
0,0,2,1,2,2,0.759677,569181600,0.7596762427815821
0,0,2,2,0,0,0.834757,90000,0.8347569998802673
0,0,2,2,0,1,0.831743,2070000,0.8317429972461476
0,0,2,2,0,2,0.762409,22770000,0.7624089697076234
0,0,2,2,1,0,0.831764,2250000,0.8317639970066821
0,0,2,2,1,1,0.82876,51750000,0.8287599311536896
0,0,2,2,1,2,0.759675,569181600,0.759674242781582
0,0,2,2,2,0,0.762675,27000000,0.7626749640801859
0,0,2,2,2,1,0.75992,620931600,0.7599191739352716
0,0,2,2,2,2,0.696572,6826622400,0.6965629181108212
0,1,0,0,0,0,0.996414,25,0.9964139999999667
0,1,0,0,0,1,0.992842,625,0.9928419999991686
0,1,0,0,0,2,0.910377,7500,0.9103769999900223
0,1,0,0,1,0,0.99284,600,0.9928399999992017
0,1,0,0,1,1,0.98928,15000,0.9892799999800446
0,1,0,0,1,2,0.907111,180000,0.9071109997605346
0,1,0,0,2,0,0.91035,6900,0.9103499999908204
0,1,0,0,2,1,0.907086,172500,0.9070859997705123
0,1,0,0,2,2,0.831742,2070000,0.8317419972461476
0,1,0,1,0,0,0.992841,625,0.9928409999991685
0,1,0,1,0,1,0.989282,15625,0.9892819999792131
0,1,0,1,0,2,0.907112,187500,0.9071119997505569
0,1,0,1,1,0,0.989279,15000,0.9892789999800445
0,1,0,1,1,1,0.985732,375000,0.9857319995011138
0,1,0,1,1,2,0.903858,4500000,0.9038579940133643
0,1,0,1,2,0,0.907086,172500,0.9070859997705123
0,1,0,1,2,1,0.903833,4312500,0.9038329942628075
0,1,0,1,2,2,0.828759,51742080,0.828758931164226
0,1,0,2,0,0,0.910372,7500,0.9103719999900223
0,1,0,2,0,1,0.907107,187500,0.9071069997505569
0,1,0,2,0,2,0.831762,2250000,0.8317619970066822
0,1,0,2,1,0,0.907105,180000,0.9071049997605346
0,1,0,2,1,1,0.903853,4500000,0.9038529940133643
0,1,0,2,1,2,0.828777,53992080,0.8287769281709082
0,1,0,2,2,0,0.831737,2070000,0.8317369972461476
0,1,0,2,2,1,0.828755,51742440,0.8287549311637471
0,1,0,2,2,2,0.759915,620492400,0.7599141745195672
0,1,1,0,0,1,0.98928,15000,0.9892799999800446
0,1,1,0,0,2,0.907089,172500,0.9070889997705124
0,1,1,0,1,0,0.98928,15000,0.9892799999800446
0,1,1,0,1,1,0.985731,360000,0.9857309995210691
0,1,1,0,1,2,0.903835,4140000,0.9038349944922952
0,1,1,0,2,0,0.907086,172500,0.9070859997705123
0,1,1,0,2,1,0.903832,4140000,0.9038319944922951
0,1,1,0,2,2,0.828739,47610000,0.8287389366613944
0,1,1,1,0,0,0.989282,15625,0.9892819999792131
0,1,1,1,0,1,0.985733,375000,0.9857329995011137
0,1,1,1,0,2,0.903836,4312500,0.9038359942628075
0,1,1,1,1,0,0.985732,375000,0.9857319995011138
