first_player_1,first_player_2,first_player_3,second_player_1,second_player_2,second_player_3,proportion,count
0,0,0,0,0,0,1,1
0,0,1,0,0,0,0.96584165112044783326,9
0,0,1,0,0,1,0.93275203240948328343,72
0,0,1,0,0,2,0.68792835798885829853,252
0,0,1,0,1,0,0.92907109550773368827,81
0,0,1,0,1,1,0.89692023422409034256,648
0,0,1,0,1,2,0.66043973847894661431,2124
0,0,1,0,2,0,0.68093416183721637425,324
0,0,1,0,2,1,0.65640265135905729211,2448
0,0,1,0,2,2,0.48017722561499737837,7200
0,0,1,1,0,0,0.92736477668274109768,81
0,0,1,1,0,1,0.89537643503954807578,648
0,0,1,1,0,2,0.6596957189095386892,2124
0,0,1,1,1,0,0.89186658101472469055,729
0,0,1,1,1,1,0.86081699073709982236,5544
0,0,1,1,1,2,0.63320711892386005225,16524
0,0,1,1,2,0,0.65321225374057512237,2772
0,0,1,1,2,1,0.62953520797240252488,19296
0,0,1,1,2,2,0.46006040097774406353,51888
0,0,1,2,0,0,0.67740040227894650277,324
0,0,1,2,0,1,0.65346260414155725784,2448
0,0,1,2,0,2,0.47959947589059363375,7200
0,0,1,2,1,0,0.65102126947102095841,2772
0,0,1,2,1,1,0.6277980065362024205,19296
0,0,1,2,1,2,0.4600175403425089299,51888
0,0,1,2,2,0,0.47566016888857620421,9648
0,0,1,2,2,1,0.45800508682379558564,61536
0,0,1,2,2,2,0.33348029627036257013,153204
0,0,2,0,0,1,0.68792835798885829853,252
0,0,2,0,0,2,0.50584400545145036507,756
0,0,2,0,1,0,0.68640716510202537906,324
0,0,2,0,1,1,0.66229477231210938383,2268
0,0,2,0,1,2,0.48626318526592693756,6444
0,0,2,0,2,0,0.50601573895653731953,1296
0,0,2,0,2,1,0.4875544356537141184,8712
0,0,2,0,2,2,0.35576802056872967422,22896
0,0,2,1,0,0,0.68487267677016854958,324
0,0,2,1,0,1,0.6608904823534380659,2268
0,0,2,1,0,2,0.48551271599127337099,6444
0,0,2,1,1,0,0.65945366098672952132,2916
0,0,2,1,1,1,0.63616066364481901037,19692
0,0,2,1,1,2,0.46663872045844052275,52236
0,0,2,1,2,0,0.48585508380356080468,11304
0,0,2,1,2,1,0.46803076567595000259,71928
0,0,2,1,2,2,0.34121035691297526134,177624
0,0,2,2,0,0,0.50208670460535599311,1296
0,0,2,2,0,1,0.48411001017073256148,8712
0,0,2,2,0,2,0.35437587836317138775,22896
0,0,2,2,1,0,0.48316433628318083395,11304
0,0,2,2,1,1,0.46571241185130052069,71928
0,0,2,2,1,2,0.3403950996217188603,177624
0,0,2,2,2,0,0.35521653035854032696,41616
0,0,2,2,2,1,0.34189848711925836106,249552
0,0,2,2,2,2,0.24841485898612578688,582516
0,1,0,0,0,0,0.96161694062014206901,9
0,1,0,0,0,1,0.92907109550773368827,81
0,1,0,0,0,2,0.68640716510202537906,324
0,1,0,0,1,0,0.92430261140887175492,72
0,1,0,0,1,1,0.8926955237237845783,648
0,1,0,0,1,2,0.65844638352351077727,2400
0,1,0,0,2,0,0.67495002347285898431,252
0,1,0,0,2,1,0.65089944439938241998,2100
0,1,0,0,2,2,0.47689660486411283322,6720
0,1,0,1,0,0,0.92319528471155591291,81
0,1,0,1,0,1,0.89173280216607073393,729
0,1,0,1,0,2,0.65814742594540171484,2724
0,1,0,1,1,0,0.88717420424599506644,648
0,1,0,1,1,1,0.85665047306607804117,5496
0,1,0,1,1,2,0.63120514011441782494,18240
0,1,0,1,2,0,0.64737796191162398882,2124
0,1,0,1,2,1,0.62416594150812962042,16020
0,1,0,1,2,2,0.45684457632579975341,46152
0,1,0,2,0,0,0.67404144751397579598,324
0,1,0,2,0,1,0.65049921513364442591,2748
0,1,0,2,0,2,0.47822975408898448187,9120
0,1,0,2,1,0,0.64728195990798021788,2448
0,1,0,2,1,1,0.62445426273021955484,18768
0,1,0,2,1,2,0.45831917453751848367,55272
0,1,0,2,2,0,0.47117652454496891699,7200
0,1,0,2,2,1,0.45387080151432721062,49020
0,1,0,2,2,2,0.33097203176381228962,129876
0,1,1,0,0,1,0.89692023422409034256,648
0,1,1,0,0,2,0.66229477231210938383,2268
0,1,1,0,1,0,0.8926955237237845783,648
0,1,1,0,1,1,0.86208753417646678589,5184
0,1,1,0,1,2,0.63554672929587298906,16992
0,1,1,0,2,0,0.65288490291117791654,2268
0,1,1,0,2,1,0.62957490033137664166,17136
0,1,1,0,2,2,0.46109590196316553937,50400
0,1,1,1,0,0,0.8915311155185773293,729
0,1,1,1,0,1,0.86106567617657744387,5832
0,1,1,1,0,2,0.63518525483797064761,19260
0,1,1,1,1,0,0.85702996305404621572,5832
0,1,1,1,1,1,0.82746891099957168192,44640
0,1,1,1,1,2,0.60940939577595979488,134784
0,1,1,1,2,0,0.62637161138474058955,19548
0,1,1,1,2,1,0.60387233190491400537,137808
0,1,1,1,2,2,0.44183390574108173406,376128
0,1,1,2,0,0,0.65156007041149143714,2916
0,1,1,2,0,1,0.62875383992186664341,22320
0,1,1,2,0,2,0.46204315998884777533,67392
0,1,1,2,1,0,0.62591693949427246911,22464
0,1,1,2,1,1,0.60379914633975199612,160128
0,1,1,2,1,2,0.44298357782462342444,443520
0,1,1,2,2,0,0.45637503293451461508,70416
0,1,1,2,2,1,0.43959166328773326168,462048
