first_player_1,first_player_2,first_player_3,second_player_1,second_player_2,second_player_3,proportion,count,mutual_proportion
0,1,1,0,2,0,0.907086,172500,2.2948770146580537e-10
0,1,1,0,2,1,0.903832,4140000,5.507704835179329e-09
0,1,1,0,2,2,0.828739,47610000,6.333860560456228e-08
0,1,1,1,0,0,0.989282,15625,2.0786929480598312e-11
0,1,1,1,0,1,0.985733,375000,4.988863075343595e-10
0,1,1,1,0,2,0.903836,4312500,5.737192536645134e-09
0,1,1,1,1,0,0.985732,375000,4.988863075343595e-10
0,1,1,1,1,1,0.982196,9000000,1.1973271380824628e-08
0,1,1,1,1,2,0.900594,103500000,1.3769262087948322e-07
0,1,1,1,2,0,0.903834,4312500,5.737192536645134e-09
0,1,1,1,2,1,0.900591,103500000,1.3769262087948322e-07
0,1,1,1,2,2,0.825767,1190091600,1.5832544105377545e-06
0,1,1,2,0,0,0.907108,187500,2.4944315376717975e-10
0,1,1,2,0,1,0.903854,4500000,5.986635690412314e-09
0,1,1,2,0,2,0.828758,51750000,6.884631043974161e-08
0,1,1,2,1,0,0.903853,4500000,5.986635690412314e-09
0,1,1,2,1,1,0.900611,108000000,1.4367925656989552e-07
0,1,1,2,1,2,0.825785,1241841600,1.652100720977496e-06
0,1,1,2,2,0,0.828755,51750000,6.884631043974161e-08
0,1,1,2,2,1,0.825782,1241848800,1.6521102995946008e-06
0,1,1,2,2,2,0.757171,14272999200,1.8988276982210312e-05
0,1,2,0,0,1,0.907089,172500,2.2948770146580537e-10
0,1,2,0,0,2,0.831476,1897500,2.524364716123859e-09
0,1,2,0,1,0,0.907111,180000,2.3946542761649257e-10
0,1,2,0,1,1,0.903835,4140000,5.507704835179329e-09
0,1,2,0,1,2,0.828493,45540000,6.058475318697261e-08
0,1,2,0,2,0,0.831745,2070000,2.7538524175896643e-09
0,1,2,0,2,1,0.828741,47610000,6.333860560456228e-08
0,1,2,0,2,2,0.759657,523710000,6.967246616501851e-07
0,1,2,1,0,0,0.907112,187500,2.4944315376717975e-10
0,1,2,1,0,1,0.903836,4312500,5.737192536645134e-09
0,1,2,1,0,2,0.828495,47437500,6.310911790309647e-08
0,1,2,1,1,0,0.903858,4500000,5.986635690412314e-09
0,1,2,1,1,1,0.900594,103500000,1.3769262087948322e-07
0,1,2,1,1,2,0.825522,1138500000,1.5146188296743154e-06
0,1,2,1,2,0,0.828762,51750000,6.884631043974161e-08
0,1,2,1,2,1,0.825769,1190250000,1.583465140114057e-06
0,1,2,1,2,2,0.756933,13091245200,1.7416114610279753e-05
0,1,2,2,0,0,0.831764,2250000,2.993317845206157e-09
0,1,2,2,0,1,0.82876,51750000,6.884631043974161e-08
0,1,2,2,0,2,0.759675,569250000,7.573094148371577e-07
0,1,2,2,1,0,0.82878,54000000,7.183962828494776e-08
0,1,2,2,1,1,0.825787,1242000000,1.6523114505537987e-06
0,1,2,2,1,2,0.756949,13660495200,1.8173424025116912e-05
0,1,2,2,2,0,0.75992,621000000,8.261557252768993e-07
0,1,2,2,2,1,0.757176,14281563600,1.8999670747256303e-05
0,1,2,2,2,2,0.694056,157019428800,0.00020889291478716336
0,2,0,0,0,1,0.910374,7500,9.97772615068719e-12
0,2,0,0,0,2,0.83476,90000,1.1973271380824629e-10
0,2,0,0,1,0,0.91035,6900,9.179508058632214e-12
0,2,0,0,1,1,0.907086,172500,2.2948770146580537e-10
0,2,0,0,1,2,0.831745,2070000,2.7538524175896643e-09
0,2,0,0,2,0,0.834463,75900,1.0097458864495435e-10
0,2,0,0,2,1,0.831471,1897500,2.524364716123859e-09
0,2,0,0,2,2,0.762408,22770000,3.0292376593486305e-08
0,2,0,1,0,0,0.910374,7500,9.97772615068719e-12
0,2,0,1,0,1,0.90711,187500,2.4944315376717975e-10
